prefecture,ave_temp
北海道,9.5
青森県,11
岩手県,11
宮城県,13.6
秋田県,12.3
山形県,12.6
福島県,14.2
茨城県,15.3
栃木県,15.2
群馬県,16.1
埼玉県,16.4
千葉県,17.2
東京都,16.8
神奈川県,17.1
新潟県,14.3
富山県,15
石川県,15.5
福井県,15.3
山梨県,16
長野県,13
岐阜県,16.9
静岡県,17.7
愛知県,16.9
三重県,16.9
滋賀県,15.7
京都府,16.9
大阪府,17.4
兵庫県,17.4
奈良県,16.2
和歌山県,17.3
鳥取県,15.7
島根県,15.6
岡山県,16.3
広島県,16.8
山口県,16
徳島県,17.1
香川県,17
愛媛県,17.1
高知県,17.4
福岡県,17.7
佐賀県,17.4
長崎県,17.7
熊本県,17.5
大分県,17.1
宮崎県,17.8
鹿児島県,19
沖縄県,23.5
